time,AccelerometerX,AccelerometerY,AccelerometerZ,LinearX,LinearY,LinearZ,GyroX,GyroY,GyroZ
0.812,0.2984,0.5191,0.763,0.219822466,0.051135752,-0.130770817,-0.075595431,-0.23636882,0.010647244
0.812,0.3033,0.5157,0.7564,0.219822466,0.051135752,-0.130770817,-0.075595431,-0.23636882,0.010647244
0.812,0.3033,0.5157,0.7564,0.219822466,0.051135752,-0.130770817,-0.059624568,-0.229980469,0.004258898
0.812,0.3033,0.5157,0.7564,0.219822466,0.051135752,-0.130770817,-0.046847872,-0.242757171,-0.006388347
0.812,0.3033,0.5157,0.7564,0.219822466,0.051135752,-0.130770817,-0.040459529,-0.270440012,-0.00958252
0.813,0.3033,0.5157,0.7564,0.219822466,0.051135752,-0.130770817,-0.036200631,-0.307705343,-0.011711968
0.813,0.3033,0.5157,0.7564,0.219822466,0.051135752,-0.130770817,-0.025553387,-0.335388184,-0.031941731
0.813,0.3033,0.5157,0.7564,0.219822466,0.051135752,-0.130770817,-0.002129449,-0.357747406,-0.063883461
0.813,0.3033,0.5157,0.7564,0.219822466,0.051135752,-0.130770817,0.02661811,-0.369459361,-0.099019371
0.813,0.3033,0.5157,0.7564,0.219822466,0.051135752,-0.130770817,0.050042048,-0.368394643,-0.130961105
0.815,0.3033,0.5157,0.7564,0.219822466,0.051135752,-0.130770817,0.050042048,-0.368394643,-0.130961105
0.816,0.3033,0.5157,0.7564,-0.298605829,-0.10119918,-0.098366059,0.050042048,-0.368394643,-0.130961105
0.848,0.3033,0.5157,0.7564,-0.298605829,-0.10119918,-0.098366059,0.050042048,-0.368394643,-0.130961105
0.891,0.2982,0.5237,0.7297,-0.298605829,-0.10119918,-0.098366059,0.050042048,-0.368394643,-0.130961105
0.891,0.2864,0.532,0.7231,-0.298605829,-0.10119918,-0.098366059,0.050042048,-0.368394643,-0.130961105
0.891,0.2754,0.524,0.7258,-0.298605829,-0.10119918,-0.098366059,0.050042048,-0.368394643,-0.130961105
0.891,0.22,0.5513,0.7075,-0.298605829,-0.10119918,-0.098366059,0.050042048,-0.368394643,-0.130961105
0.892,0.22,0.5513,0.7075,-0.298605829,-0.10119918,-0.098366059,0.069207087,-0.347100168,-0.156514481
0.892,0.22,0.5513,0.7075,-0.298605829,-0.10119918,-0.098366059,0.091566302,-0.305575907,-0.163967565
0.892,0.22,0.5513,0.7075,-0.298605829,-0.10119918,-0.098366059,0.122443303,-0.254469126,-0.165032282
0.892,0.22,0.5513,0.7075,-0.298605829,-0.10119918,-0.098366059,0.160773382,-0.21294488,-0.185262039
0.893,0.22,0.5513,0.7075,-0.298605829,-0.10119918,-0.098366059,0.211880162,-0.17780897,-0.238498271
0.893,0.22,0.5513,0.7075,-0.298605829,-0.10119918,-0.098366059,0.284281403,-0.142673075,-0.350294322
0.893,0.22,0.5513,0.7075,-0.298605829,-0.10119918,-0.098366059,0.348164886,-0.152255595,-0.469543457
0.893,0.22,0.5513,0.7075,-0.298605829,-0.10119918,-0.098366059,0.375847727,-0.23636882,-0.52916801
0.894,0.22,0.5513,0.7075,-0.298605829,-0.10119918,-0.098366059,0.375847727,-0.23636882,-0.52916801
0.895,0.22,0.5513,0.7075,-0.534442425,-0.177618504,-0.386330038,0.375847727,-0.23636882,-0.52916801
0.916,0.22,0.5513,0.7075,-0.534442425,-0.177618504,-0.386330038,0.375847727,-0.23636882,-0.52916801
0.971,0.1689,0.5433,0.699,-0.534442425,-0.177618504,-0.386330038,0.375847727,-0.23636882,-0.52916801
0.971,0.1769,0.5096,0.7288,-0.534442425,-0.177618504,-0.386330038,0.375847727,-0.23636882,-0.52916801
0.971,0.2168,0.5396,0.7009,-0.534442425,-0.177618504,-0.386330038,0.375847727,-0.23636882,-0.52916801
0.972,0.22,0.5707,0.6489,-0.534442425,-0.177618504,-0.386330038,0.375847727,-0.23636882,-0.52916801
0.972,0.22,0.5707,0.6489,-0.534442425,-0.177618504,-0.386330038,0.390753865,-0.352423787,-0.560045063
0.972,0.22,0.5707,0.6489,-0.534442425,-0.177618504,-0.386330038,0.409918904,-0.498291016,-0.581339538
0.973,0.22,0.5707,0.6489,-0.534442425,-0.177618504,-0.386330038,0.443990082,-0.670776367,-0.614345968
0.973,0.22,0.5707,0.6489,-0.534442425,-0.177618504,-0.386330038,0.487643778,-0.846455932,-0.672905803
0.973,0.22,0.5707,0.6489,-0.534442425,-0.177618504,-0.386330038,0.522779703,-0.999776244,-0.747436523
0.974,0.22,0.5707,0.6489,-0.534442425,-0.177618504,-0.386330038,0.549397767,-1.120090127,-0.827290893
